[2026-03-19 08:53:15,985] INFO     [logger] --- Début du scan : Analyse WiFi ---
[2026-03-19 08:53:16,407] INFO     [logger] WiFi analysé : SSID=, Sécurité=
[2026-03-19 08:53:16,408] INFO     [logger] --- Fin du scan : Analyse WiFi (durée: 0.42s) ---
[2026-03-19 08:53:16,408] INFO     [logger] --- Début du scan : Découverte des hôtes ---
[2026-03-19 08:53:16,429] WARNING  [logger] Détection automatique échouée, utilisation de 192.168.1.0/24
[2026-03-19 08:53:16,429] INFO     [logger] Scan du réseau : 192.168.1.0/24
[2026-03-19 08:53:16,462] INFO     [logger] 1 hôte(s) dans la table ARP
[2026-03-19 08:53:16,465] INFO     [logger] Ping sweep de 254 IPs...
[2026-03-19 08:53:31,385] INFO     [logger] Hôte découvert : 172.20.10.1 MAC=CE:C9:5D:59:BC:64
[2026-03-19 08:53:31,385] INFO     [logger] Hôte découvert : 192.168.1.113
[2026-03-19 08:53:31,393] INFO     [logger] Hôte découvert : 192.168.1.180
[2026-03-19 08:53:31,393] INFO     [logger] 3 hôte(s) découvert(s)
[2026-03-19 08:53:31,394] INFO     [logger] --- Fin du scan : Découverte des hôtes (durée: 15.41s) ---
[2026-03-19 08:53:31,394] INFO     [logger] --- Début du scan : Scan de ports ---
[2026-03-19 08:53:31,394] INFO     [logger] Scan de ports — module non encore implémenté
[2026-03-19 08:53:31,395] INFO     [logger] --- Fin du scan : Scan de ports (durée: 15.41s) ---
[2026-03-19 08:53:31,395] INFO     [logger] --- Début du scan : Détection des services ---
[2026-03-19 08:53:31,395] INFO     [logger] Détection des services — module non encore implémenté
[2026-03-19 08:53:31,395] INFO     [logger] --- Fin du scan : Détection des services (durée: 15.41s) ---
[2026-03-19 08:53:31,396] INFO     [logger] --- Début du scan : Fingerprint OS ---
[2026-03-19 08:53:31,396] INFO     [logger] Fingerprint OS — module non encore implémenté
[2026-03-19 08:53:31,396] INFO     [logger] --- Fin du scan : Fingerprint OS (durée: 15.41s) ---
[2026-03-19 08:53:31,396] INFO     [logger] --- Début du scan : Détection de vulnérabilités ---
[2026-03-19 08:53:31,396] INFO     [logger] Détection de vulnérabilités — module non encore implémenté
[2026-03-19 08:53:31,397] INFO     [logger] --- Fin du scan : Détection de vulnérabilités (durée: 15.41s) ---
[2026-03-19 08:53:31,397] INFO     [logger] Génération du rapport — module non encore implémenté
